Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI,CSC preds,RUNLTS preds,CSC coverage,CSC accuracy,RUNLTS coverage,RUNLTS accuracy,UNIQUE PCS,FIRST TIME accuracy,CSC FIRST TIME coverage,CSC FIRST TIME accuracy,RUNLTS FIRST TIME coverage,RUNLTS FIRST TIME accuracy
web,web_3_trace,134.2002592086792,Pass,,39999981,12626034,3.1681,6018442,169204,0.4767,0.0134,2.8114%,4.2301,4975982,29.4082,124.3996,20999981,5847460,3.5913,3382696,79457,0.5785,0.0136,2.3489%,3.7837,2713567,34.1514,129.2176,2400007,3618435,39.88%,99.59%,60.12%,95.6%,18674,-nan%,100%,62.33%,0%,-nan%
web,web_14_trace,235.48800468444824,Pass,,70000043,21014166,3.3311,11059737,323337,0.5263,0.0154,2.9236%,4.6191,12338990,38.1614,176.2712,35000043,9299057,3.7638,5268168,139670,0.5665,0.0150,2.6512%,3.9906,5203867,37.2583,148.6817,1304289,9755448,11.79%,99.85%,88.21%,96.7%,5605,-nan%,100%,73.2%,0%,-nan%
web,web_24_trace,80.5669527053833,Pass,,14999923,8519280,1.7607,1985890,35524,0.2331,0.0042,1.7888%,2.3683,1055517,29.7128,70.3682,7999923,4078914,1.9613,1067447,16963,0.2617,0.0042,1.5891%,2.1204,478995,28.2376,59.8750,1149454,836436,57.88%,99.52%,42.12%,96.42%,15709,-nan%,100%,73.37%,0%,-nan%
web,web_13_trace,134.68522262573242,Pass,,39999813,17381344,2.3013,4813533,144083,0.2769,0.0083,2.9933%,3.6021,4387534,30.4514,109.6889,20999813,7505605,2.7979,2687998,73102,0.3581,0.0097,2.7196%,3.4811,2353444,32.1940,112.0698,2065280,2748253,42.91%,99.05%,57.09%,95.47%,66767,-nan%,100%,78.33%,0%,-nan%
web,web_4_trace,107.63480854034424,Pass,,39999718,14234014,2.8102,6265226,212246,0.4402,0.0149,3.3877%,5.3062,5995809,28.2493,149.8963,20999718,6721024,3.1245,3426349,99248,0.5098,0.0148,2.8966%,4.7262,2618098,26.3794,124.6730,1035343,5229883,16.53%,98.95%,83.47%,96.15%,18985,-nan%,100%,59.94%,0%,-nan%
web,web_23_trace,60.17267894744873,Pass,,20000047,6611984,3.0248,3286069,33139,0.4970,0.0050,1.0085%,1.6569,1228468,37.0702,61.4233,10000047,4708648,2.1238,1544231,21333,0.3280,0.0045,1.3815%,2.1333,827766,38.8021,82.7762,1924554,1361515,58.57%,99.64%,41.43%,98.08%,23398,-nan%,100%,76.96%,0%,-nan%
web,web_25_trace,46.08135795593262,Pass,,14999989,7632187,1.9654,2548670,105045,0.3339,0.0138,4.1216%,7.0030,3414178,32.5021,227.6120,7999989,3185824,2.5111,1342253,62951,0.4213,0.0198,4.6900%,7.8689,1967743,31.2583,245.9682,900519,1648151,35.33%,99.15%,64.67%,94.09%,23870,-nan%,100%,77.52%,0%,-nan%
web,web_2_trace,126.7424545288086,Pass,,39999746,12985570,3.0803,5842811,203084,0.4499,0.0156,3.4758%,5.0771,5413527,26.6566,135.3390,20999746,6530942,3.2154,3176039,119137,0.4863,0.0182,3.7511%,5.6733,3303019,27.7245,157.2885,1494291,4348520,25.57%,99.43%,74.43%,95.53%,16156,-nan%,100%,61.87%,0%,-nan%
web,web_15_trace,61.94837951660156,Pass,,14999858,8079585,1.8565,2411251,84300,0.2984,0.0104,3.4961%,5.6201,2516795,29.8552,167.7879,7999858,3308407,2.4180,1229867,37304,0.3717,0.0113,3.0332%,4.6631,1002108,26.8633,125.2657,1271892,1139359,52.75%,99.13%,47.25%,93.57%,33967,-nan%,100%,78.91%,0%,-nan%
web,web_22_trace,51.9125394821167,Pass,,20000051,6494429,3.0796,2417352,80943,0.3722,0.0125,3.3484%,4.0471,3547648,43.8290,177.3819,10000051,2890399,3.4597,1222376,37543,0.4229,0.0130,3.0713%,3.7543,1716869,45.7307,171.6860,936256,1481096,38.73%,99.73%,61.27%,94.71%,9332,-nan%,100%,78.12%,0%,-nan%
