Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI,CSC preds,RUNLTS preds,CSC coverage,CSC accuracy,RUNLTS coverage,RUNLTS accuracy,UNIQUE PCS,FIRST TIME accuracy,CSC FIRST TIME coverage,CSC FIRST TIME accuracy,RUNLTS FIRST TIME coverage,RUNLTS FIRST TIME accuracy
web,web_3_trace,134.2002592086792,Pass,,39999981,12681628,3.1542,6018442,172265,0.4746,0.0136,2.8623%,4.3066,5032612,29.2144,125.8154,20999981,5877764,3.5728,3382696,81347,0.5755,0.0138,2.4048%,3.8737,2745006,33.7444,130.7147,1840337,4178105,30.58%,99.53%,69.42%,96.08%,18674,62.17%,85.99%,61.93%,14.01%,63.69%
web,web_14_trace,235.48800468444824,Pass,,70000043,21034879,3.3278,11059737,325170,0.5258,0.0155,2.9401%,4.6453,12374703,38.0561,176.7814,35000043,9308467,3.7600,5268168,140555,0.5660,0.0151,2.6680%,4.0159,5224897,37.1733,149.2826,1281859,9777878,11.59%,99.85%,88.41%,96.69%,5605,73.2%,99.27%,73.26%,0.7315%,65.85%
web,web_24_trace,80.5669527053833,Pass,,14999923,8535861,1.7573,1985890,36404,0.2327,0.0043,1.8331%,2.4269,1069119,29.3682,71.2750,7999923,4086665,1.9576,1067447,17344,0.2612,0.0042,1.6248%,2.1680,486142,28.0294,60.7683,1042794,943096,52.51%,99.5%,47.49%,96.7%,15709,73.3%,95.32%,73.47%,4.679%,69.8%
web,web_13_trace,134.68522262573242,Pass,,39999813,17473391,2.2892,4813533,147706,0.2755,0.0085,3.0686%,3.6927,4476659,30.3079,111.9170,20999813,7554097,2.7799,2687998,75184,0.3558,0.0100,2.7970%,3.5802,2401138,31.9368,114.3409,1232382,3581151,25.6%,98.91%,74.4%,96.25%,66767,76.16%,68.78%,77.59%,31.22%,72.99%
web,web_4_trace,107.63480854034424,Pass,,39999718,14280435,2.8010,6265226,214066,0.4387,0.0150,3.4167%,5.3517,6044561,28.2369,151.1151,20999718,6731057,3.1198,3426349,99567,0.5090,0.0148,2.9059%,4.7413,2629030,26.4046,125.1936,862233,5402993,13.76%,98.93%,86.24%,96.21%,18985,59.99%,85.56%,60.09%,14.44%,59.45%
web,web_23_trace,60.17267894744873,Pass,,20000047,6608082,3.0266,3286069,33381,0.4973,0.0051,1.0158%,1.6690,1229749,36.8398,61.4873,10000047,4704410,2.1257,1544231,21538,0.3283,0.0046,1.3947%,2.1538,827877,38.4380,82.7873,1825634,1460435,55.56%,99.65%,44.44%,98.15%,23398,76.76%,92.74%,77.1%,7.261%,72.45%
web,web_25_trace,46.08135795593262,Pass,,14999989,7647371,1.9615,2548670,106066,0.3333,0.0139,4.1616%,7.0711,3430224,32.3405,228.6818,7999989,3194627,2.5042,1342253,63552,0.4202,0.0199,4.7347%,7.9440,1976864,31.1062,247.1083,812150,1736520,31.87%,99.15%,68.13%,94.29%,23870,77.29%,91.73%,77.49%,8.266%,75.01%
web,web_2_trace,126.7424545288086,Pass,,39999746,13076781,3.0588,5842811,207775,0.4468,0.0159,3.5561%,5.1944,5509689,26.5176,137.7431,20999746,6601175,3.1812,3176039,122955,0.4811,0.0186,3.8713%,5.8551,3374975,27.4489,160.7150,1271577,4571234,21.76%,99.4%,78.24%,95.62%,16156,61.9%,90.64%,62.17%,9.365%,59.22%
web,web_15_trace,61.94837951660156,Pass,,14999858,8114752,1.8485,2411251,86108,0.2971,0.0106,3.5711%,5.7406,2549850,29.6122,169.9916,7999858,3333426,2.3999,1229867,38814,0.3689,0.0116,3.1560%,4.8518,1027330,26.4680,128.4185,1019496,1391755,42.28%,99.09%,57.72%,94.48%,33967,78.23%,84.65%,78.94%,15.35%,74.3%
web,web_22_trace,51.9125394821167,Pass,,20000051,6529773,3.0629,2417352,82732,0.3702,0.0127,3.4224%,4.1366,3582908,43.3074,179.1449,10000051,2916358,3.4290,1222376,38886,0.4191,0.0133,3.1812%,3.8886,1742643,44.8141,174.2634,922640,1494712,38.17%,99.73%,61.83%,94.63%,9332,78.12%,98.89%,78.02%,1.114%,86.54%
web,web_12_trace,61.48514461517334,Pass,,15000009,9390562,1.5973,2254326,70093,0.2401,0.0075,3.1093%,4.6729,2307412,32.9193,153.8274,8000009,4385728,1.8241,1175254,43838,0.2680,0.0100,3.7301%,5.4797,1270104,28.9727,158.7628,767534,1486792,34.05%,98.59%,65.95%,96.01%,47357,76.78%,79.9%,77.74%,20.1%,72.93%
