Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI,CSC preds,RUNLTS preds,CSC coverage,CSC accuracy,RUNLTS coverage,RUNLTS accuracy,UNIQUE PCS,FIRST TIME accuracy,CSC FIRST TIME coverage,CSC FIRST TIME accuracy,RUNLTS FIRST TIME coverage,RUNLTS FIRST TIME accuracy
web,web_3_trace,134.2002592086792,Pass,,39999981,12653534,3.1612,6018442,171165,0.4756,0.0135,2.8440%,4.2791,5002760,29.2277,125.0691,20999981,5868580,3.5784,3382696,81099,0.5764,0.0138,2.3975%,3.8619,2733314,33.7034,130.1579,0,6018442,0%,-nan%,100%,97.16%,18674,62.33%,0%,-nan%,100%,62.33%
web,web_14_trace,235.48800468444824,Pass,,70000043,21017713,3.3305,11059737,323696,0.5262,0.0154,2.9268%,4.6242,12357583,38.1765,176.5368,35000043,9302984,3.7622,5268168,140071,0.5663,0.0151,2.6588%,4.0020,5218944,37.2593,149.1125,0,11059737,0%,-nan%,100%,97.07%,5605,73.08%,0%,-nan%,100%,73.08%
web,web_24_trace,80.5669527053833,Pass,,14999923,8545928,1.7552,1985890,36869,0.2324,0.0043,1.8565%,2.4579,1083135,29.3779,72.2094,7999923,4097287,1.9525,1067447,17752,0.2605,0.0043,1.6630%,2.2190,499420,28.1332,62.4281,0,1985890,0%,-nan%,100%,98.14%,15709,72.41%,0%,-nan%,100%,72.41%
web,web_13_trace,134.68522262573242,Pass,,39999813,17509641,2.2844,4813533,149222,0.2749,0.0085,3.1001%,3.7306,4518394,30.2797,112.9604,20999813,7569390,2.7743,2687998,75994,0.3551,0.0100,2.8272%,3.6188,2416753,31.8019,115.0845,0,4813533,0%,-nan%,100%,96.9%,66767,75.19%,0%,-nan%,100%,75.19%
web,web_4_trace,107.63480854034424,Pass,,39999718,14262511,2.8045,6265226,213003,0.4393,0.0149,3.3998%,5.3251,6026433,28.2927,150.6619,20999718,6723633,3.1233,3426349,99085,0.5096,0.0147,2.8919%,4.7184,2621589,26.4580,124.8392,0,6265226,0%,-nan%,100%,96.6%,18985,60.45%,0%,-nan%,100%,60.45%
web,web_23_trace,60.17267894744873,Pass,,20000047,6615406,3.0233,3286069,33593,0.4967,0.0051,1.0223%,1.6796,1236120,36.7970,61.8059,10000047,4714345,2.1212,1544231,21776,0.3276,0.0046,1.4102%,2.1776,836212,38.4006,83.6208,0,3286069,0%,-nan%,100%,98.98%,23398,75.81%,0%,-nan%,100%,75.81%
web,web_25_trace,46.08135795593262,Pass,,14999989,7639190,1.9636,2548670,105723,0.3336,0.0138,4.1482%,7.0482,3422065,32.3682,228.1378,7999989,3181518,2.5145,1342253,63016,0.4219,0.0198,4.6948%,7.8770,1962571,31.1440,245.3217,0,2548670,0%,-nan%,100%,95.85%,23870,76.28%,0%,-nan%,100%,76.28%
web,web_2_trace,126.7424545288086,Pass,,39999746,13069411,3.0606,5842811,207662,0.4471,0.0159,3.5541%,5.1916,5503482,26.5021,137.5879,20999746,6589439,3.1869,3176039,122680,0.4820,0.0186,3.8627%,5.8420,3363851,27.4197,160.1853,0,5842811,0%,-nan%,100%,96.45%,16156,61.98%,0%,-nan%,100%,61.98%
web,web_15_trace,61.94837951660156,Pass,,14999858,8114484,1.8485,2411251,86464,0.2972,0.0107,3.5859%,5.7643,2553018,29.5269,170.2028,7999858,3343898,2.3924,1229867,39372,0.3678,0.0118,3.2013%,4.9216,1038368,26.3733,129.7983,0,2411251,0%,-nan%,100%,96.41%,33967,77.25%,0%,-nan%,100%,77.25%
web,web_22_trace,51.9125394821167,Pass,,20000051,6526252,3.0646,2417352,82402,0.3704,0.0126,3.4088%,4.1201,3579760,43.4426,178.9875,10000051,2916552,3.4287,1222376,38799,0.4191,0.0133,3.1741%,3.8799,1743544,44.9379,174.3535,0,2417352,0%,-nan%,100%,96.59%,9332,78.05%,0%,-nan%,100%,78.05%
