Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI,CSC preds,RUNLTS preds,CSC coverage,CSC accuracy,RUNLTS coverage,RUNLTS accuracy,UNIQUE PCS,FIRST TIME accuracy,CSC FIRST TIME coverage,CSC FIRST TIME accuracy,RUNLTS FIRST TIME coverage,RUNLTS FIRST TIME accuracy
web,web_3_trace,134.2002592086792,Pass,,39999981,12631342,3.1667,6018442,169689,0.4765,0.0134,2.8195%,4.2422,4980455,29.3505,124.5114,20999981,5860363,3.5834,3382696,80252,0.5772,0.0137,2.3724%,3.8215,2726059,33.9687,129.8125,0,6018442,0%,-nan%,100%,97.18%,18674,62.18%,0%,-nan%,100%,62.18%
web,web_14_trace,235.48800468444824,Pass,,70000043,21019402,3.3303,11059737,323884,0.5262,0.0154,2.9285%,4.6269,12337851,38.0934,176.2549,35000043,9295316,3.7653,5268168,139520,0.5668,0.0150,2.6484%,3.9863,5191959,37.2130,148.3415,0,11059737,0%,-nan%,100%,97.07%,5605,72.97%,0%,-nan%,100%,72.97%
web,web_24_trace,80.5669527053833,Pass,,14999923,8532573,1.7580,1985890,35991,0.2327,0.0042,1.8123%,2.3994,1067826,29.6693,71.1888,7999923,4084818,1.9585,1067447,17118,0.2613,0.0042,1.6036%,2.1398,484555,28.3068,60.5700,0,1985890,0%,-nan%,100%,98.19%,15709,72.18%,0%,-nan%,100%,72.18%
web,web_13_trace,134.68522262573242,Pass,,39999813,17503876,2.2852,4813533,148932,0.2750,0.0085,3.0940%,3.7233,4514131,30.3100,112.8538,20999813,7567681,2.7749,2687998,76016,0.3552,0.0100,2.8280%,3.6198,2418245,31.8123,115.1555,0,4813533,0%,-nan%,100%,96.91%,66767,74.13%,0%,-nan%,100%,74.13%
web,web_4_trace,107.63480854034424,Pass,,39999718,14228563,2.8112,6265226,211640,0.4403,0.0149,3.3780%,5.2910,5990613,28.3057,149.7664,20999718,6723047,3.1235,3426349,99070,0.5096,0.0147,2.8914%,4.7177,2621277,26.4588,124.8244,0,6265226,0%,-nan%,100%,96.62%,18985,60.36%,0%,-nan%,100%,60.36%
web,web_23_trace,60.17267894744873,Pass,,20000047,6616995,3.0225,3286069,33513,0.4966,0.0051,1.0199%,1.6756,1229670,36.6923,61.4834,10000047,4713484,2.1216,1544231,21648,0.3276,0.0046,1.4019%,2.1648,828884,38.2892,82.8880,0,3286069,0%,-nan%,100%,98.98%,23398,75.28%,0%,-nan%,100%,75.28%
web,web_25_trace,46.08135795593262,Pass,,14999989,7636742,1.9642,2548670,105239,0.3337,0.0138,4.1292%,7.0159,3417848,32.4770,227.8567,7999989,3183447,2.5130,1342253,62816,0.4216,0.0197,4.6799%,7.8520,1963837,31.2633,245.4800,0,2548670,0%,-nan%,100%,95.87%,23870,75.8%,0%,-nan%,100%,75.8%
web,web_2_trace,126.7424545288086,Pass,,39999746,12985022,3.0805,5842811,203212,0.4500,0.0156,3.4780%,5.0803,5416344,26.6537,135.4095,20999746,6532820,3.2145,3176039,119313,0.4862,0.0183,3.7567%,5.6816,3304626,27.6971,157.3650,0,5842811,0%,-nan%,100%,96.52%,16156,61.87%,0%,-nan%,100%,61.87%
web,web_15_trace,61.94837951660156,Pass,,14999858,8110305,1.8495,2411251,86291,0.2973,0.0106,3.5787%,5.7528,2551158,29.5646,170.0788,7999858,3330442,2.4020,1229867,38767,0.3693,0.0116,3.1521%,4.8460,1025737,26.4590,128.2194,0,2411251,0%,-nan%,100%,96.42%,33967,76.69%,0%,-nan%,100%,76.69%
web,web_22_trace,51.9125394821167,Pass,,20000051,6497210,3.0783,2417352,81102,0.3721,0.0125,3.3550%,4.0551,3551917,43.7957,177.5954,10000051,2888851,3.4616,1222376,37579,0.4231,0.0130,3.0743%,3.7579,1715869,45.6603,171.5860,0,2417352,0%,-nan%,100%,96.64%,9332,77.96%,0%,-nan%,100%,77.96%
